school_name,test_id,enrollment,charter,f_percent,fr_percent,student_teacher_ratio,student_admin_ratio,avg_exp,avg_yrs_district,dropouts_per_enrollment,susp_per_enrollment,district_budget_per_student,percent_met_and_above
A. E. Arnold Elementary,ela,728,False,0.268,0.363,24.266666666666666,728.0,17,15,0,0.0,4606.9797615423695,0.6876741573033708
A. E. Arnold Elementary,math,728,False,0.268,0.363,24.266666666666666,728.0,17,15,0,0.0,4606.9797615423695,0.6201662971175166
A. J. Cook Elementary,ela,355,False,0.499,0.643,21.515151515151516,355.0,17,17,0,0,5809.952892468844,0.770904255319149
A. J. Cook Elementary,math,355,False,0.499,0.643,21.515151515151516,355.0,17,17,0,0,5809.952892468844,0.7778191489361703
A. J. Dorsa Elementary,ela,489,False,0.759,0.9079999999999999,25.076923076923077,489.0,16,13,0,0.0,7096.845521213125,0.3178682170542636
A. J. Dorsa Elementary,math,489,False,0.759,0.9079999999999999,25.076923076923077,489.0,16,13,0,0.0,7096.845521213125,0.21919776119402987
A. L. Conner Elementary,ela,328,False,0.875,0.945,19.294117647058822,164.0,11,10,0,0.0,5355.944281156739,0.32234104046242773
A. L. Conner Elementary,math,328,False,0.875,0.945,19.294117647058822,164.0,11,10,0,0.0,5355.944281156739,0.1817341040462428
Abby Reinke Elementary,ela,808,False,0.11900000000000001,0.14800000000000002,21.83783783783784,269.3333333333333,18,15,0,0,4552.128680157356,0.720440097799511
Abby Reinke Elementary,math,808,False,0.11900000000000001,0.14800000000000002,21.83783783783784,269.3333333333333,18,15,0,0,4552.128680157356,0.6668215158924206
Abraham Lincoln,ela,636,False,0.813,0.914,22.714285714285715,636.0,14,14,0,0.0,5268.8077256062315,0.5497157190635452
Abraham Lincoln,math,636,False,0.813,0.914,22.714285714285715,636.0,14,14,0,0.0,5268.8077256062315,0.4967109634551495
Abraham Lincoln Elementary,ela,358,False,0.735,0.902,19.247311827956988,255.71428571428572,13,13,0,0,274.51301733677604,0.4921642363775903
Abraham Lincoln Elementary,math,358,False,0.735,0.902,19.247311827956988,255.71428571428572,13,13,0,0,274.51301733677604,0.4376066260472201
Acacia Elementary,ela,322,False,0.479,0.55,18.941176470588236,322.0,16,16,0,0.0,5157.545558998188,0.7260732538330494
Acacia Elementary,math,322,False,0.479,0.55,18.941176470588236,322.0,16,16,0,0.0,5157.545558998188,0.6696422487223167
Acacia Elementary Charter,ela,421,True,0.789,0.872,24.764705882352942,140.33333333333334,9,1,0,0,2247.9233120638073,0.19990066225165565
Acacia Elementary Charter,math,421,True,0.789,0.872,24.764705882352942,140.33333333333334,9,1,0,0,2247.9233120638073,0.09192052980132451
Academia Moderna,ela,469,True,0.848,0.973,22.878048780487806,117.25,6,2,0,0.0,5587.211817288847,0.24958695652173912
Academia Moderna,math,469,True,0.848,0.973,22.878048780487806,117.25,6,2,0,0.0,5587.211817288847,0.20843478260869563
Academy For Enriched Sciences,ela,285,False,0.267,0.358,20.357142857142858,285.0,14,14,0,0.0,5587.211817288847,0.7276023391812865
Academy For Enriched Sciences,math,285,False,0.267,0.358,20.357142857142858,285.0,14,14,0,0.0,5587.211817288847,0.6616374269005849
Academy Of Arts And Sciences: Del Mar Elementary (,ela,85,True,0.424,0.5760000000000001,5.386565272496831,28.333333333333332,7,1,0,0,3643.596100317909,0.3459090909090909
Academy Of Arts And Sciences: Del Mar Elementary (,math,85,True,0.424,0.5760000000000001,5.386565272496831,28.333333333333332,7,1,0,0,3643.596100317909,0.111875
Academy Of Arts And Sciences: El Cajon Elementary ,ela,18,True,0.278,0.278,1.1406844106463878,6.0,7,1,0,0,3643.596100317909,0.0
Academy Of Arts And Sciences: El Cajon Elementary ,math,18,True,0.278,0.278,1.1406844106463878,6.0,7,1,0,0,3643.596100317909,0.0
Academy Of Technology & Leadership At Saticoy,ela,354,False,0.384,0.5479999999999999,13.615384615384615,354.0,12,10,0,0.05084745762711865,5061.518909197082,0.4310650887573964
