school_name,test_id,enrollment,charter,f_percent,fr_percent,student_teacher_ratio,student_admin_ratio,avg_exp,avg_yrs_district,dropouts_per_enrollment,susp_per_enrollment,district_budget_per_student,percent_met_and_above
Abraham Lincoln High,ela,1903,False,0.46,0.561,21.5980024968789,317.1666666666667,12,9,0,0.03415659485023647,4769.21579158193,0.5900000000000001
Abraham Lincoln High,math,1903,False,0.46,0.561,21.5980024968789,317.1666666666667,12,9,0,0.03415659485023647,4769.21579158193,0.33
Abraham Lincoln Senior High,ela,1030,False,0.79,0.903,18.392857142857142,515.0,19,19,0,0,5587.211817288847,0.61
Abraham Lincoln Senior High,math,1030,False,0.79,0.903,18.392857142857142,515.0,19,19,0,0,5587.211817288847,0.33
Academies Of Education And Empowerment At Carson H,ela,563,False,0.47200000000000003,0.612,22.376788553259143,563.0,16,16,0,0,5587.211817288847,0.72
Academies Of Education And Empowerment At Carson H,math,563,False,0.47200000000000003,0.612,22.376788553259143,563.0,16,16,0,0,5587.211817288847,0.19
Academies Of The Antelope Valley,ela,331,True,0.429,0.58,11.906474820143885,110.33333333333333,13,9,0,0.0,4701.173302109669,0.628429054054054
Academies Of The Antelope Valley,math,331,True,0.429,0.58,11.906474820143885,110.33333333333333,13,9,0,0.0,4701.173302109669,0.30974662162162164
Academy For Academic Excellence,ela,1412,True,0.217,0.278,20.091064314171884,201.71428571428572,13,7,0,0.060906515580736544,4411.897668914173,0.5704722921914358
Academy For Academic Excellence,math,1412,True,0.217,0.278,20.091064314171884,201.71428571428572,13,7,0,0.060906515580736544,4411.897668914173,0.3619584382871536
Academy For Multilingual Arts And Science At Mervy,ela,703,False,0.856,0.92,20.09145470134324,351.5,10,10,0,0.0,5587.211817288847,0.16
Academy For Multilingual Arts And Science At Mervy,math,703,False,0.856,0.92,20.09145470134324,351.5,10,10,0,0.0,5587.211817288847,0.06
Academy Of Arts And Sciences: Del Mar Middle & Hig,ela,214,True,0.27399999999999997,0.284,5.2957188814649845,39.629629629629626,8,1,0,0,3643.596100317909,0.5276315789473685
Academy Of Arts And Sciences: Del Mar Middle & Hig,math,214,True,0.27399999999999997,0.284,5.2957188814649845,39.629629629629626,8,1,0,0,3643.596100317909,0.21000000000000002
