school_name,test_id,enrollment,charter,f_percent,fr_percent,student_teacher_ratio,student_admin_ratio,avg_exp,avg_yrs_district,susp_per_enrollment,district_budget_per_student,percent_met_and_above
A. G. Currie Middle,ela,776,False,0.8320000000000001,0.951,23.31030339441274,388.0,10,6,0.14690721649484537,4589.21509281947,0.3701975476839237
A. G. Currie Middle,math,776,False,0.8320000000000001,0.951,23.31030339441274,388.0,10,6,0.14690721649484537,4589.21509281947,0.1723684210526316
A. M. Thomas Middle,ela,170,False,0.941,0.9590000000000001,15.315315315315315,89.47368421052632,14,12,0.0,6841.925884476533,0.1377058823529412
A. M. Thomas Middle,math,170,False,0.941,0.9590000000000001,15.315315315315315,89.47368421052632,14,12,0.0,6841.925884476533,0.0923529411764706
Abbott Middle,ela,808,False,0.322,0.371,22.088572990705305,808.0,12,9,0.028465346534653466,5244.97398764298,0.5183844189016602
Abbott Middle,math,808,False,0.322,0.371,22.088572990705305,808.0,12,9,0.028465346534653466,5244.97398764298,0.3784170854271357
Acacia Middle,ela,746,False,0.8079999999999999,0.909,20.16216216216216,248.66666666666666,14,10,0.39946380697050937,5467.402489757927,0.2698174157303371
Acacia Middle,math,746,False,0.8079999999999999,0.909,20.16216216216216,248.66666666666666,14,10,0.39946380697050937,5467.402489757927,0.1318092566619916
Acacia Middle Charter,ela,127,True,0.78,0.858,36.285714285714285,63.5,10,2,0,2247.9233120638073,0.16793233082706768
Acacia Middle Charter,math,127,True,0.78,0.858,36.285714285714285,63.5,10,2,0,2247.9233120638073,0.02150375939849624
Accelerated Achievement Academy,ela,139,False,0.41,0.54,17.729591836734695,139.0,12,7,0.0,4907.935806508666,0.94875
Accelerated Achievement Academy,math,139,False,0.41,0.54,17.729591836734695,139.0,12,7,0.0,4907.935806508666,0.8475
Ace Alum Rock,ela,98,True,0.8370000000000001,0.929,21.77777777777778,65.33333333333333,7,1,0.42857142857142855,7096.845521213125,0.12266666666666667
Ace Alum Rock,math,98,True,0.8370000000000001,0.929,21.77777777777778,65.33333333333333,7,1,0.42857142857142855,7096.845521213125,0.08055555555555556
Ace Empower Academy,ela,351,True,0.863,0.94,23.4,175.5,6,2,0.19943019943019943,2676.006207374549,0.22912979351032453
Ace Empower Academy,math,351,True,0.863,0.94,23.4,175.5,6,2,0.19943019943019943,2676.006207374549,0.1934156976744186
