county_code,district_code,school_code,educational_option,charter,low_grade,high_grade,enrollment,free_meal_count,f_percent,free_and_reduce_count,fr_percent
1,10017,112607,Traditional,Y,9,12,407,220,0.566,260,0.668
1,10017,123968,Traditional,Y,K,8,192,128,0.692,153,0.827
1,10017,124172,Traditional,Y,K,8,307,15,0.049,21,0.068
1,10017,125567,Traditional,Y,K,8,317,92,0.295,107,0.343
1,10017,130401,Juvenile Court School,N,K,12,137,66,0.545,66,0.545
1,10017,130419,County Community School,N,K,12,253,164,0.8,177,0.863
1,10017,131581,Traditional,Y,6,8,76,58,0.763,68,0.895
1,10017,6001788,Traditional,Y,K,5,620,474,0.79,525,0.875
1,10017,6002000,Traditional,Y,K,8,459,344,0.775,411,0.926
1,31609,131755,State Special School,N,1,Adult,47,41,1,41,1
1,31617,131763,State Special School,N,P,12,392,196,0.626,202,0.645
1,61119,1,N/A,N/A,,,36,5,0.161,5,0.161
1,61119,106401,Alternative School of Choice,N,9,12,175,38,0.221,50,0.291
1,61119,111765,Traditional,N,K,5,535,295,0.551,336,0.628
1,61119,119222,Traditional,Y,K,12,528,105,0.201,116,0.222
1,61119,122085,Traditional,Y,6,8,502,109,0.217,126,0.251
1,61119,126656,Alternative School of Choice,N,K,8,304,92,0.31,109,0.367
1,61119,130229,Traditional,N,9,12,1718,254,0.154,293,0.178
1,61119,130609,Traditional,Y,6,12,379,33,0.089,41,0.111
1,61119,130625,Traditional,Y,9,12,165,126,0.881,133,0.93
1,61119,131805,Traditional,Y,K,5,72,29,0.408,33,0.465
1,61119,132142,Traditional,N,6,12,1336,448,0.348,517,0.402
1,61119,134304,Continuation School,N,9,12,117,32,0.4,34,0.425
1,61119,6090005,Traditional,N,K,5,520,110,0.217,133,0.262
1,61119,6090013,Traditional,N,K,5,478,49,0.103,54,0.113
1,61119,6090021,Traditional,N,K,5,593,79,0.133,101,0.17
1,61119,6090039,Traditional,N,K,5,339,38,0.112,46,0.136
1,61119,6090047,Traditional,N,K,5,438,188,0.444,213,0.504
1,61119,6090054,Traditional,N,6,8,888,89,0.1,112,0.126
1,61119,6090112,Traditional,N,6,8,468,190,0.406,217,0.464
1,61119,6090120,Traditional,N,K,5,297,107,0.377,122,0.43
1,61119,6100374,Traditional,N,K,5,622,37,0.062,44,0.074
1,61119,6110779,Traditional,N,K,8,591,26,0.044,37,0.063
1,61127,1,N/A,N/A,,,4,0,0,0,0
1,61127,130294,Continuation School,N,10,12,16,4,0.267,8,0.533
1,61127,130450,Traditional,N,9,12,1210,136,0.115,201,0.17
1,61127,6090146,Traditional,N,K,5,548,45,0.082,60,0.109
1,61127,6090161,Traditional,N,6,8,895,118,0.132,156,0.174
1,61127,6095376,Traditional,N,K,5,497,55,0.111,68,0.137
1,61127,6116222,Traditional,N,K,5,652,142,0.231,177,0.288
1,61143,1,N/A,N/A,,,25,4,0.211,4,0.211
1,61143,122689,Traditional,Y,6,8,302,174,0.576,218,0.722
1,61143,122697,Traditional,Y,9,12,366,206,0.587,257,0.732
1,61143,131177,Traditional,N,9,12,3113,703,0.233,822,0.272
1,61143,134924,Continuation School,N,10,12,64,38,0.704,40,0.741
1,61143,6056857,Traditional,N,6,8,1027,289,0.281,361,0.352
1,61143,6056865,Traditional,N,6,8,569,213,0.374,260,0.457
1,61143,6090187,Traditional,N,K,5,463,123,0.27,138,0.303
1,61143,6090195,Traditional,N,K,5,419,128,0.305,157,0.375
1,61143,6090211,Traditional,N,K,5,305,108,0.354,126,0.413
1,61143,6090252,Traditional,N,K,5,422,113,0.274,130,0.316
1,61143,6090278,Traditional,N,K,5,354,124,0.357,158,0.455
1,61143,6090286,Traditional,N,K,5,571,146,0.266,171,0.311
1,61143,6090294,Traditional,N,6,8,512,226,0.441,256,0.5
1,61143,6090302,Traditional,N,K,5,302,108,0.358,124,0.411
1,61143,6090310,Traditional,N,K,5,442,153,0.346,184,0.416
1,61143,6090328,Traditional,N,K,5,466,108,0.238,136,0.3
1,61143,6097729,Traditional,N,K,5,448,127,0.288,152,0.345
1,61143,6105316,Traditional,N,K,5,292,113,0.387,131,0.449
1,61150,1,N/A,N/A,,,20,7,0.438,7,0.438
1,61150,130047,Special Education School,N,9,12,27,0,0,0,0
1,61150,132225,Traditional,N,9,12,2917,428,0.15,569,0.2
1,61150,135533,Continuation School,N,9,12,141,30,0.244,36,0.293
1,61150,6090351,Traditional,N,K,5,469,152,0.333,192,0.42
1,61150,6090369,Traditional,N,K,5,456,60,0.132,81,0.178
1,61150,6090385,Traditional,N,6,8,793,107,0.135,153,0.193
1,61150,6090393,Traditional,N,K,5,653,66,0.105,86,0.137
1,61150,6090401,Traditional,N,K,5,477,152,0.319,184,0.386
1,61150,6090419,Traditional,N,K,5,140,13,0.093,18,0.129
1,61150,6090435,Traditional,N,K,5,501,54,0.108,77,0.154
1,61150,6090468,Traditional,N,K,5,479,100,0.216,144,0.31
1,61150,6090484,Traditional,N,K,5,442,55,0.124,63,0.143
1,61150,6097653,Traditional,N,6,8,1412,252,0.178,320,0.227
1,61150,6113005,Traditional,N,K,5,439,18,0.041,23,0.052
1,61168,132746,Traditional,N,9,12,174,113,0.665,122,0.718
1,61168,6090492,Traditional,N,K,8,524,345,0.665,389,0.75
1,61176,1,N/A,N/A,,,44,3,0.086,3,0.086
1,61176,127233,Special Education School,N,9,12,23,0,0,0,0
1,61176,130062,Traditional,N,9,12,2093,346,0.169,438,0.214
1,61176,130138,Continuation School,N,9,12,204,88,0.509,103,0.595
1,61176,130435,Alternative School of Choice,N,7,12,29,6,0.231,6,0.231
1,61176,130534,Traditional,Y,K,12,304,46,0.155,48,0.162
1,61176,134270,Traditional,N,9,12,2253,275,0.124,351,0.159
1,61176,134452,Traditional,N,9,12,1401,467,0.344,587,0.433
1,61176,135244,Traditional,N,9,12,2069,69,0.034,83,0.041
1,61176,138693,Traditional,N,9,12,1822,420,0.238,508,0.288
1,61176,6000541,Traditional,N,K,6,456,184,0.418,227,0.516
1,61176,6000558,Traditional,N,K,6,754,295,0.402,343,0.468
1,61176,6000566,Traditional,N,K,6,484,217,0.448,251,0.519
1,61176,6000590,Traditional,N,K,6,472,227,0.481,276,0.585
1,61176,6000624,Traditional,N,K,6,659,213,0.323,248,0.376
