county_code,district_code,school_code,educational_option,charter,low_grade,high_grade,enrollment,free_meal,f_percent,"FRPM Count 
(K-12)","Percent (%) 
Eligible FRPM 
(K-12)","Enrollment 
(Ages 5-17)","Free Meal 
Count 
(Ages 5-17)","Percent (%) 
Eligible Free 
(Ages 5-17)","FRPM Count 
(Ages 5-17)","Percent (%) 
Eligible FRPM 
(Ages 5-17)","2015-16 
CALPADS Fall 1 
Certification Status"
01,10017,0112607,Traditional,Y,9,12,407,229,56.3%,274,67.3%,389,220,56.6%,260,66.8%,Y
01,10017,0123968,Traditional,Y,K,8,192,132,68.8%,158,82.3%,185,128,69.2%,153,82.7%,Y
01,10017,0124172,Traditional,Y,K,8,307,15,4.9%,21,6.8%,307,15,4.9%,21,6.8%,Y
01,10017,0125567,Traditional,Y,K,8,317,93,29.3%,108,34.1%,312,92,29.5%,107,34.3%,Y
01,10017,0130401,Juvenile Court School,N,K,12,137,75,54.7%,75,54.7%,121,66,54.5%,66,54.5%,Y
01,10017,0130419,County Community School,N,K,12,253,205,81.0%,219,86.6%,205,164,80.0%,177,86.3%,Y
01,10017,0131581,Traditional,Y,6,8,76,58,76.3%,68,89.5%,76,58,76.3%,68,89.5%,Y
01,10017,6001788,Traditional,Y,K,5,620,486,78.4%,537,86.6%,600,474,79.0%,525,87.5%,Y
01,10017,6002000,Traditional,Y,K,8,459,354,77.1%,424,92.4%,444,344,77.5%,411,92.6%,Y
01,31609,0131755,State Special School,N,1,Adult,47,47,100.0%,47,100.0%,41,41,100.0%,41,100.0%,Y
01,31617,0131763,State Special School,N,P,12,392,256,65.3%,262,66.8%,313,196,62.6%,202,64.5%,Y
01,61119,0000001,N/A,N/A,,,36,5,13.9%,5,13.9%,31,5,16.1%,5,16.1%,Y
01,61119,0106401,Alternative School of Choice,N,9,12,175,40,22.9%,53,30.3%,172,38,22.1%,50,29.1%,Y
01,61119,0111765,Traditional,N,K,5,535,295,55.1%,336,62.8%,535,295,55.1%,336,62.8%,Y
01,61119,0119222,Traditional,Y,K,12,528,105,19.9%,116,22.0%,523,105,20.1%,116,22.2%,Y
01,61119,0122085,Traditional,Y,6,8,502,109,21.7%,126,25.1%,502,109,21.7%,126,25.1%,Y
01,61119,0126656,Alternative School of Choice,N,K,8,304,94,30.9%,112,36.8%,297,92,31.0%,109,36.7%,Y
01,61119,0130229,Traditional,N,9,12,1718,271,15.8%,312,18.2%,1647,254,15.4%,293,17.8%,Y
01,61119,0130609,Traditional,Y,6,12,379,34,9.0%,42,11.1%,371,33,8.9%,41,11.1%,Y
01,61119,0130625,Traditional,Y,9,12,165,145,87.9%,154,93.3%,143,126,88.1%,133,93.0%,Y
01,61119,0131805,Traditional,Y,K,5,72,29,40.3%,34,47.2%,71,29,40.8%,33,46.5%,Y
01,61119,0132142,Traditional,N,6,12,1336,466,34.9%,539,40.3%,1287,448,34.8%,517,40.2%,Y
